time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2019/20 Q2,Aberdeenshire,75-84 years,10+ hours,4,260,31.5
Financial Quarter,2019/20 Q2,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Aberdeenshire,85+ years,0 - <2 hours,1,130,12.4
Financial Quarter,2019/20 Q2,Aberdeenshire,85+ years,2 - <4 hours,2,200,19.1
Financial Quarter,2019/20 Q2,Aberdeenshire,85+ years,4 - <10 hours,3,355,34
Financial Quarter,2019/20 Q2,Aberdeenshire,85+ years,10+ hours,4,360,34.4
Financial Quarter,2019/20 Q2,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,0 - <2 hours,1,290,11.7
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,2 - <4 hours,2,450,18.2
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,4 - <10 hours,3,875,35.4
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,10+ hours,4,860,34.7
Financial Quarter,2019/20 Q3,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,0 - <2 hours,1,35,10.8
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,2 - <4 hours,2,60,18.5
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,4 - <10 hours,3,100,30.8
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,10+ hours,4,130,40
Financial Quarter,2019/20 Q3,Aberdeenshire,18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,0 - <2 hours,1,25,7.6
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,2 - <4 hours,2,70,21.2
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,4 - <10 hours,3,120,36.4
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,10+ hours,4,115,34.8
Financial Quarter,2019/20 Q3,Aberdeenshire,65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,0 - <2 hours,1,110,13.3
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,2 - <4 hours,2,160,19.3
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,4 - <10 hours,3,295,35.5
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,10+ hours,4,265,31.9
Financial Quarter,2019/20 Q3,Aberdeenshire,75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,0 - <2 hours,1,120,12.1
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,2 - <4 hours,2,165,16.7
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,4 - <10 hours,3,360,36.4
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,10+ hours,4,345,34.8
Financial Quarter,2019/20 Q3,Aberdeenshire,85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,Aberdeenshire,Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,0 - <2 hours,1,295,11.8
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,2 - <4 hours,2,420,16.7
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,4 - <10 hours,3,930,37.1
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,10+ hours,4,865,34.5
Financial Quarter,2019/20 Q4,Aberdeenshire,All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Aberdeenshire,0-17 years,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,0-17 years,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,0-17 years,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,0-17 years,10+ hours,4,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,0-17 years,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,Aberdeenshire,18-64 years,0 - <2 hours,1,30,9
Financial Quarter,2019/20 Q4,Aberdeenshire,18-64 years,2 - <4 hours,2,50,14.9
Financial Quarter,2019/20 Q4,Aberdeenshire,18-64 years,4 - <10 hours,3,130,38.8
