time_period,financial_quarter,sending_location,age_group,level_of_service,hours_order,nclient,percentage
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2090,11
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,2935,15.5
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,7050,37.2
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,10+ hours,4,6890,36.3
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2017/18 Q4,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,7525,11.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,11160,16.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,23210,34.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,10+ hours,4,24800,37.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,15,9.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,30,18.2
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,60,36.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,10+ hours,4,60,36.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,960,8.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1435,12.6
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,3090,27.1
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5915,51.9
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1225,12.4
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1835,18.5
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3345,33.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3490,35.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2565,12.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,3880,18.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7760,37.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6580,31.7
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2765,11.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3975,16.3
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8950,36.6
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,10+ hours,4,8755,35.8
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q1,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,7640,11.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,11615,17.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,22445,33.9
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,10+ hours,4,24500,37
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,20,11.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,35,20
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,55,31.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,10+ hours,4,65,37.1
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1080,9.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1560,13.8
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,2870,25.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5815,51.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1220,12.2
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1930,19.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3290,33
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3525,35.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2630,12.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,4070,19.3
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7655,36.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6680,31.8
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2695,11.4
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,4015,16.9
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8575,36.2
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,10+ hours,4,8415,35.5
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q2,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,8280,12.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,11455,17.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,22715,34.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,10+ hours,4,23895,36
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,20,11.8
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,35,20.6
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,55,32.4
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,10+ hours,4,60,35.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1210,10.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1590,13.9
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,2900,25.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5780,50.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1355,13.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,2010,19.6
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3410,33.3
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3455,33.8
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2800,13.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,4085,19.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7935,37.1
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6545,30.6
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2890,12.5
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3735,16.2
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8415,36.4
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,10+ hours,4,8050,34.9
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q3,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,8440,12.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,11170,16.7
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,23665,35.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,10+ hours,4,23615,35.3
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,25,13.9
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,25,13.9
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,65,36.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,10+ hours,4,65,36.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1245,10.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1580,13.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,3150,26.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5800,49.3
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1380,13.3
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1980,19
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3600,34.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3450,33.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2930,13.4
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,4075,18.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,8285,37.9
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6565,30
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2860,12.6
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3515,15.5
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8565,37.8
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,10+ hours,4,7740,34.1
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2018/19 Q4,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,7920,12.1
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,10440,16
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,21730,33.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,10+ hours,4,25275,38.7
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,20,12.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,25,15.6
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,60,37.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,10+ hours,4,55,34.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1190,10.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1435,12.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,2835,24.8
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5985,52.3
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1210,12.6
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1680,17.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3115,32.5
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3585,37.4
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2555,12.7
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,3670,18.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7095,35.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6855,34
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2940,12.3
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3635,15.2
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8620,35.9
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,10+ hours,4,8795,36.7
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q1,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,7810,11.9
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,10820,16.5
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,22215,33.9
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,10+ hours,4,24600,37.6
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,20,12.1
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,30,18.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,50,30.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,10+ hours,4,65,39.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1275,10.8
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1635,13.8
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,2965,25.1
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5960,50.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1230,12.6
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1820,18.7
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3240,33.3
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3450,35.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2580,12.7
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,3735,18.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7365,36.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6660,32.7
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2700,11.6
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3605,15.4
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8590,36.8
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,10+ hours,4,8465,36.2
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q2,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,8240,12.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,10870,16.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,21795,33.5
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,10+ hours,4,24100,37.1
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,15,8.8
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,30,17.6
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,60,35.3
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,10+ hours,4,65,38.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1370,11.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,2 - <4 hours,2,1650,13.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,4 - <10 hours,3,3030,25.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,10+ hours,4,5990,49.8
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),18-64 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,0 - <2 hours,1,1320,13.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,2 - <4 hours,2,1855,18.9
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,4 - <10 hours,3,3225,32.8
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,10+ hours,4,3430,34.9
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),65-74 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,0 - <2 hours,1,2735,13.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,2 - <4 hours,2,3820,18.7
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,4 - <10 hours,3,7330,35.9
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,10+ hours,4,6540,32
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),75-84 years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,0 - <2 hours,1,2800,12.4
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,2 - <4 hours,2,3520,15.6
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,4 - <10 hours,3,8155,36.2
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,10+ hours,4,8070,35.8
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),85+ years,Unknown,5,0,0
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,0 - <2 hours,1,0,NA
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,2 - <4 hours,2,0,NA
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,4 - <10 hours,3,0,NA
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,10+ hours,4,0,NA
Financial Quarter,2019/20 Q3,Scotland (All Areas Submitted),Unknown,Unknown,5,0,NA
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,0 - <2 hours,1,6985,10.7
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,2 - <4 hours,2,10875,16.7
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,4 - <10 hours,3,22655,34.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,10+ hours,4,24620,37.8
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),All Ages,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,0 - <2 hours,1,10,5.6
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,2 - <4 hours,2,30,16.7
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,4 - <10 hours,3,70,38.9
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,10+ hours,4,70,38.9
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),0-17 years,Unknown,5,0,0
Financial Quarter,2019/20 Q4,Scotland (All Areas Submitted),18-64 years,0 - <2 hours,1,1075,8.7
