time_period,financial_quarter,sending_location,age_group,measure,value
Financial Quarter,2018/19 Q2,Shetland,All Ages,Number of People,385
Financial Quarter,2018/19 Q2,Shetland,All Ages,Number of Hours,37875
Financial Quarter,2018/19 Q2,South Ayrshire,All Ages,"Rate per 1,000 Population",17.7
Financial Quarter,2018/19 Q2,South Ayrshire,All Ages,Number of People,1990
Financial Quarter,2018/19 Q2,South Ayrshire,All Ages,Number of Hours,221525
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,"Rate per 1,000 Population",13.2
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Number of People,4215
Financial Quarter,2018/19 Q2,South Lanarkshire,All Ages,Number of Hours,571455
Financial Quarter,2018/19 Q2,Stirling,All Ages,"Rate per 1,000 Population",15.2
Financial Quarter,2018/19 Q2,Stirling,All Ages,Number of People,1435
Financial Quarter,2018/19 Q2,Stirling,All Ages,Number of Hours,255815
Financial Quarter,2018/19 Q2,West Dunbartonshire,All Ages,"Rate per 1,000 Population",18.1
Financial Quarter,2018/19 Q2,West Dunbartonshire,All Ages,Number of People,1610
Financial Quarter,2018/19 Q2,West Dunbartonshire,All Ages,Number of Hours,119945
Financial Quarter,2018/19 Q2,West Lothian,All Ages,"Rate per 1,000 Population",10.2
Financial Quarter,2018/19 Q2,West Lothian,All Ages,Number of People,1855
Financial Quarter,2018/19 Q2,West Lothian,All Ages,Number of Hours,226915
Financial Quarter,2018/19 Q3,Scotland (Estimated),All Ages,"Rate per 1,000 Population",12.2
Financial Quarter,2018/19 Q3,Scotland (Estimated),All Ages,Number of People,66565
Financial Quarter,2018/19 Q3,Scotland (Estimated),All Ages,Number of Hours,8872475
Financial Quarter,2018/19 Q3,Aberdeen City,All Ages,"Rate per 1,000 Population",9.3
Financial Quarter,2018/19 Q3,Aberdeen City,All Ages,Number of People,2115
Financial Quarter,2018/19 Q3,Aberdeen City,All Ages,Number of Hours,362285
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,"Rate per 1,000 Population",8.6
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,Number of People,2260
Financial Quarter,2018/19 Q3,Aberdeenshire,All Ages,Number of Hours,224970
Financial Quarter,2018/19 Q3,Angus,All Ages,"Rate per 1,000 Population",11.8
Financial Quarter,2018/19 Q3,Angus,All Ages,Number of People,1370
Financial Quarter,2018/19 Q3,Angus,All Ages,Number of Hours,14185
Financial Quarter,2018/19 Q3,Argyll and Bute,All Ages,"Rate per 1,000 Population",18.8
Financial Quarter,2018/19 Q3,Argyll and Bute,All Ages,Number of People,1625
Financial Quarter,2018/19 Q3,Argyll and Bute,All Ages,Number of Hours,293890
Financial Quarter,2018/19 Q3,City of Edinburgh,All Ages,"Rate per 1,000 Population",10.1
Financial Quarter,2018/19 Q3,City of Edinburgh,All Ages,Number of People,5240
Financial Quarter,2018/19 Q3,City of Edinburgh,All Ages,Number of Hours,1170540
Financial Quarter,2018/19 Q3,Clackmannanshire,All Ages,"Rate per 1,000 Population",16.2
Financial Quarter,2018/19 Q3,Clackmannanshire,All Ages,Number of People,835
Financial Quarter,2018/19 Q3,Clackmannanshire,All Ages,Number of Hours,135605
Financial Quarter,2018/19 Q3,Comhairle nan Eilean Siar,All Ages,"Rate per 1,000 Population",14.2
Financial Quarter,2018/19 Q3,Comhairle nan Eilean Siar,All Ages,Number of People,380
Financial Quarter,2018/19 Q3,Comhairle nan Eilean Siar,All Ages,Number of Hours,23375
Financial Quarter,2018/19 Q3,Dumfries and Galloway,All Ages,"Rate per 1,000 Population",15.7
Financial Quarter,2018/19 Q3,Dumfries and Galloway,All Ages,Number of People,2335
Financial Quarter,2018/19 Q3,Dumfries and Galloway,All Ages,Number of Hours,454385
Financial Quarter,2018/19 Q3,Dundee City,All Ages,"Rate per 1,000 Population",13.3
Financial Quarter,2018/19 Q3,Dundee City,All Ages,Number of People,1980
Financial Quarter,2018/19 Q3,Dundee City,All Ages,Number of Hours,230235
Financial Quarter,2018/19 Q3,East Ayrshire,All Ages,"Rate per 1,000 Population",16
Financial Quarter,2018/19 Q3,East Ayrshire,All Ages,Number of People,1955
Financial Quarter,2018/19 Q3,East Ayrshire,All Ages,Number of Hours,190370
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,"Rate per 1,000 Population",15
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,Number of People,1630
Financial Quarter,2018/19 Q3,East Dunbartonshire,All Ages,Number of Hours,174785
Financial Quarter,2018/19 Q3,East Lothian,All Ages,"Rate per 1,000 Population",13.7
Financial Quarter,2018/19 Q3,East Lothian,All Ages,Number of People,1445
Financial Quarter,2018/19 Q3,East Lothian,All Ages,Number of Hours,262855
Financial Quarter,2018/19 Q3,East Renfrewshire,All Ages,"Rate per 1,000 Population",13
