financial_year,sending_location,option_type,nclient,rate
2016/17,City of Edinburgh,Option 2,275,0.5
2016/17,City of Edinburgh,Option 3,3430,6.8
2016/17,City of Edinburgh,Option 4,325,0.6
2016/17,Clackmannanshire,Option 1,50,1
2016/17,Clackmannanshire,Option 2,15,0.3
2016/17,Clackmannanshire,Option 3,1625,31.6
2016/17,Clackmannanshire,Option 4,35,0.7
2016/17,Comhairle nan Eilean Siar,Option 1,120,4.5
2016/17,Comhairle nan Eilean Siar,Option 2,45,1.7
2016/17,Comhairle nan Eilean Siar,Option 3,485,18
2016/17,Comhairle nan Eilean Siar,Option 4,20,0.7
2016/17,Dumfries and Galloway,Option 1,470,3.1
2016/17,Dumfries and Galloway,Option 2,0,0
2016/17,Dumfries and Galloway,Option 3,6585,44
2016/17,Dumfries and Galloway,Option 4,210,1.4
2016/17,Dundee City,Option 1,60,0.4
2016/17,Dundee City,Option 2,30,0.2
2016/17,Dundee City,Option 3,5240,35.3
2016/17,Dundee City,Option 4,5,0
2016/17,East Ayrshire,Option 1,240,2
2016/17,East Ayrshire,Option 2,170,1.4
2016/17,East Ayrshire,Option 3,585,4.8
2016/17,East Ayrshire,Option 4,50,0.4
2016/17,East Dunbartonshire,Option 1,210,2
2016/17,East Dunbartonshire,Option 2,150,1.4
2016/17,East Dunbartonshire,Option 3,1390,12.9
2016/17,East Dunbartonshire,Option 4,105,1
2016/17,East Lothian,Option 1,120,1.2
2016/17,East Lothian,Option 2,50,0.5
2016/17,East Lothian,Option 3,840,8.1
2016/17,East Lothian,Option 4,90,0.9
2016/17,East Renfrewshire,Option 1,170,1.8
2016/17,East Renfrewshire,Option 2,195,2.1
2016/17,East Renfrewshire,Option 3,435,4.6
2016/17,East Renfrewshire,Option 4,70,0.7
2016/17,Falkirk,Option 1,60,0.4
2016/17,Falkirk,Option 2,150,0.9
2016/17,Falkirk,Option 3,2650,16.6
2016/17,Falkirk,Option 4,100,0.6
2016/17,Fife,Option 1,490,1.3
2016/17,Fife,Option 2,15,0
2016/17,Fife,Option 3,2940,7.9
2016/17,Fife,Option 4,100,0.3
2016/17,Glasgow City,Option 1,490,0.8
2016/17,Glasgow City,Option 2,1720,2.8
2016/17,Glasgow City,Option 3,1230,2
2016/17,Glasgow City,Option 4,100,0.2
2016/17,Highland,Option 1,730,3.1
2016/17,Highland,Option 2,230,1
2016/17,Highland,Option 3,5415,23.1
2016/17,Highland,Option 4,275,1.2
2016/17,Inverclyde,Option 1,80,1
2016/17,Inverclyde,Option 2,200,2.5
2016/17,Inverclyde,Option 3,4075,51.5
2016/17,Inverclyde,Option 4,230,2.9
2016/17,Midlothian,Option 1,140,1.6
2016/17,Midlothian,Option 2,120,1.4
2016/17,Midlothian,Option 3,2145,24.2
