financial_year,sending_location,measure,nclient,rate,scotland_nclient,scotland_rate
2020/21,North Lanarkshire,"Rate per 1,000 Population (adjusted)",15805,46.3,213790,39.112696670325654
2020/21,Orkney Islands,"Rate per 1,000 Population",415,18.5,231925,42.43047932674716
2020/21,Orkney Islands,"Rate per 1,000 Population (adjusted)",1000,44.6,213790,39.112696670325654
2020/21,Perth and Kinross,"Rate per 1,000 Population",7385,48.6,231925,42.43047932674716
2020/21,Perth and Kinross,"Rate per 1,000 Population (adjusted)",6980,45.9,213790,39.112696670325654
2020/21,Renfrewshire,"Rate per 1,000 Population",7675,42.8,231925,42.43047932674716
2020/21,Renfrewshire,"Rate per 1,000 Population (adjusted)",6235,34.8,213790,39.112696670325654
2020/21,Scottish Borders,"Rate per 1,000 Population",4055,35.2,231925,42.43047932674716
2020/21,Scottish Borders,"Rate per 1,000 Population (adjusted)",3345,29,213790,39.112696670325654
2020/21,Shetland,"Rate per 1,000 Population",1445,63.2,231925,42.43047932674716
2020/21,Shetland,"Rate per 1,000 Population (adjusted)",1250,54.7,213790,39.112696670325654
2020/21,South Ayrshire,"Rate per 1,000 Population",3510,31.3,231925,42.43047932674716
2020/21,South Ayrshire,"Rate per 1,000 Population (adjusted)",2640,23.5,213790,39.112696670325654
2020/21,South Lanarkshire,"Rate per 1,000 Population",10515,32.8,231925,42.43047932674716
2020/21,South Lanarkshire,"Rate per 1,000 Population (adjusted)",7890,24.6,213790,39.112696670325654
2020/21,Stirling,"Rate per 1,000 Population",3745,39.8,231925,42.43047932674716
2020/21,Stirling,"Rate per 1,000 Population (adjusted)",3620,38.5,213790,39.112696670325654
2020/21,West Dunbartonshire,"Rate per 1,000 Population",4545,51.4,231925,42.43047932674716
2020/21,West Dunbartonshire,"Rate per 1,000 Population (adjusted)",3470,39.3,213790,39.112696670325654
2020/21,West Lothian,"Rate per 1,000 Population",7585,41.3,231925,42.43047932674716
2020/21,West Lothian,"Rate per 1,000 Population (adjusted)",6040,32.9,213790,39.112696670325654
